"id","country","title","image_url","source","original_link","scraped_at","page_url"
"39","usa","San Francisco Chronicle","images/San_Francisco_Chronicle_682fc6e418193.jpg","https://es.kiosko.net/us/np/sf_chronicle.html","https://img.kiosko.net/2025/05/22/us/sf_chronicle.750.jpg","2025-05-22 18:52:53",NULL
"40","uruguay","El País","images/El_Pa__s_682fc6e5d59da.jpg","https://es.kiosko.net/uy/np/uy_elpais.html","https://img.kiosko.net/2025/05/22/uy/uy_elpais.750.jpg","2025-05-22 18:52:55",NULL
"41","uruguay","La Diaria","images/La_Diaria_682fc6e76e52f.jpg","https://es.kiosko.net/uy/np/uy_ladiaria.html","https://img.kiosko.net/2025/05/22/uy/uy_ladiaria.750.jpg","2025-05-22 18:52:56",NULL
"42","uruguay","El Telégrafo","images/El_Tel__grafo_682fc6e8a931e.jpg","https://es.kiosko.net/uy/np/uy_telegrafo.html","https://img.kiosko.net/2025/05/22/uy/uy_telegrafo.750.jpg","2025-05-22 18:52:57",NULL
"43","chile","El Mercurio","images/El_Mercurio_682fc6eaa7966.jpg","https://es.kiosko.net/cl/np/cl_mercurio.html","https://img.kiosko.net/2025/05/22/cl/cl_mercurio.750.jpg","2025-05-22 18:52:59",NULL
"44","chile","La Tercera","images/La_Tercera_682fc6ec3b55f.jpg","https://es.kiosko.net/cl/np/cl_tercera.html","https://img.kiosko.net/2025/05/22/cl/cl_tercera.750.jpg","2025-05-22 18:53:01",NULL
"45","chile","Diario Chañarcillo","images/Diario_Cha__arcillo_682fc6ed9fd24.jpg","https://es.kiosko.net/cl/np/cl_chanarcillo.html","https://img.kiosko.net/2025/05/22/cl/cl_chanarcillo.750.jpg","2025-05-22 18:53:02",NULL
"46","chile","Diario La Región de Coquimbo","images/Diario_La_Regi__n_de_Coquimbo_682fc6ef35851.jpg","https://es.kiosko.net/cl/np/region_coquimbo.html","https://img.kiosko.net/2025/05/22/cl/region_coquimbo.750.jpg","2025-05-22 18:53:04",NULL
"47","chile","Diario de Concepción","images/Diario_de_Concepci__n_682fc6f099f0b.jpg","https://es.kiosko.net/cl/np/diario_concepcion.html","https://img.kiosko.net/2025/05/22/cl/diario_concepcion.750.jpg","2025-05-22 18:53:05",NULL
"48","chile","El Pingüino","images/El_Ping__ino_682fc6f20dd4c.jpg","https://es.kiosko.net/cl/np/pinguino.html","https://img.kiosko.net/2025/05/22/cl/pinguino.750.jpg","2025-05-22 18:53:07",NULL
"49","colombia","El Espectador","images/El_Espectador_682fc6f394d1f.jpg","https://es.kiosko.net/co/np/co_espectador.html","https://img.kiosko.net/2025/05/22/co/co_espectador.750.jpg","2025-05-22 18:53:08",NULL
"50","colombia","El Heraldo","images/El_Heraldo_682fc6f4f0c3d.jpg","https://es.kiosko.net/co/np/co_heraldo.html","https://img.kiosko.net/2025/05/22/co/co_heraldo.750.jpg","2025-05-22 18:53:10",NULL
"51","colombia","El Universal","images/El_Universal_682fc6f65f215.jpg","https://es.kiosko.net/co/np/co_universal.html","https://img.kiosko.net/2025/05/22/co/co_universal.750.jpg","2025-05-22 18:53:11",NULL
"52","colombia","La Patria","images/La_Patria_682fc6f7d78fc.jpg","https://es.kiosko.net/co/np/co_patria.html","https://img.kiosko.net/2025/05/22/co/co_patria.750.jpg","2025-05-22 18:53:12",NULL
